,Conpany,Year,Rho
0,SONY US Equity,2023,0.9999999946353638
1,SONY US Equity,2022,0.9999999999920856
2,SONY US Equity,2021,0.999999999981137
3,SONY US Equity,2020,0.7618981706507696
4,SONY US Equity,2019,0.6724251073055514
5,AAPl US Equity,2023,0.16827832149921768
6,AAPl US Equity,2022,0.9999999999473016
7,AAPl US Equity,2021,0.34036112350225445
8,AAPl US Equity,2020,0.9999999999328588
9,AAPl US Equity,2019,0.3913999992283296
10,DELL US Equity,2023,0.9999999997441485
11,DELL US Equity,2022,0.8345141042471597
12,DELL US Equity,2021,0.692102633264275
13,DELL US Equity,2020,0.6345249379620008
14,DELL US Equity,2019,0.36029787950706127
15,HPE US Equity,2023,0.7640004923602383
16,HPE US Equity,2022,0.5717198180155155
17,HPE US Equity,2021,0.9999999987264685
18,HPE US Equity,2020,0.6696428560622067
19,HPE US Equity,2019,0.7589606002251416
20,SAMSUNG KS Equity,2023,0.999999999991593
21,SAMSUNG KS Equity,2022,0.9632055019432277
22,SAMSUNG KS Equity,2021,0.9999999999901966
23,SAMSUNG KS Equity,2020,0.24509257169947823
24,SAMSUNG KS Equity,2019,0.2573471749936087
